DEPT,GR,Res,CALI,RHOB
2256.5,56.963,13.674,7.988,2.497
2257,56.4,13.95,7.994,2.506
2257.5,56.836,13.949,7.993,2.515
2258,57.473,13.672,8.02,2.512
2258.5,58.87,12.981,8.063,2.509
2259,60.067,11.538,8.066,2.502
2259.5,60.745,10.431,8.021,2.496
2260,61.061,10.016,8.152,2.511
2260.5,61.058,10.075,8.415,2.541
2261,61.375,10.489,8.35,2.546
2261.5,61.612,10.923,8.229,2.548
2262,60.408,11.515,8.112,2.549
2262.5,58.724,12.127,8.063,2.549
2263,55.078,13.075,8.138,2.532
2263.5,51.313,15.879,8.209,2.502
2264,47.189,17.835,8.168,2.474
2264.5,45.064,20.086,8.143,2.453
2265,42.34,20.481,8.261,2.443
2265.5,41.417,19.927,8.233,2.454
2266,40.532,19.67,8.139,2.47
2266.5,39.969,18.84,8.082,2.468
2267,39.885,18.326,8.065,2.462
2267.5,40.683,18.088,8.072,2.453
2268,41.319,18.048,8.115,2.438
2268.5,41.557,18.028,8.21,2.43
2269,40.272,18.067,8.249,2.455
2269.5,39.108,18.422,8.228,2.461
2270,38.906,18.797,8.159,2.461
2270.5,39.542,19.033,8.09,2.468
2271,40.739,19.27,8.085,2.45
2271.5,41.216,19.289,8.152,2.436
2272,41.454,19.289,8.275,2.45
2272.5,42.29,19.308,8.286,2.456
2273,43.607,19.426,8.169,2.454
2273.5,45.885,19.485,8.076,2.451
2274,48.122,19.247,8.099,2.471
2274.5,48.959,18.18,8.166,2.486
2275,51.317,15.572,8.092,2.491
2275.5,54.395,13.339,8.228,2.48
2276,61.314,9.712,8.159,2.514
2276.5,67.753,8.823,8.129,2.54
2277,74.392,7.994,8.301,2.557
2277.5,80.711,7.387,8.263,2.546
2278,84.75,6.617,8.15,2.537
2278.5,87.347,6.17,8.029,2.551
2279,88.664,6.126,7.916,2.532
2279.5,88.822,6.082,8.035,2.541
2280,88.898,6.078,8.014,2.566
2280.5,88.214,6.074,7.893,2.543
2281,88.012,6.151,7.996,2.542
2281.5,87.807,6.328,7.951,2.542
2282,86.084,6.465,7.814,2.543
2282.5,85.04,7.125,7.997,2.58
2283,85.396,7.182,8.072,2.604
2283.5,87.714,6.754,8.123,2.597
2284,89.992,6.408,7.99,2.578
2284.5,90.588,6.122,7.885,2.57
2285,91.825,5.877,8.136,2.554
2285.5,93.423,5.59,8.351,2.553
2286,97.582,5.526,8.261,2.544
2286.5,97.738,5.522,8.077,2.518
2287,98.095,5.619,7.859,2.531
2287.5,98.291,6.037,8.07,2.568
2288,98.169,6.416,8.069,2.59
2288.5,96.884,7.137,7.956,2.597
2289,95.08,7.616,7.959,2.598
2289.5,92.436,8.235,8.018,2.587
2290,90.392,8.352,8.005,2.589
2290.5,88.188,7.925,7.972,2.613
2291,86.303,7.68,7.999,2.606
2291.5,85.5,7.434,8.042,2.597
2292,84.576,7.31,8.045,2.586
2292.5,84.092,7.407,8.044,2.572
2293,84.69,8.026,8.031,2.573
2293.5,85.886,8.324,8.014,2.587
2294,86.123,8.34,8.021,2.595
2294.5,84.519,8.175,8.052,2.606
2295,81.314,7.989,8.139,2.592
2295.5,79.55,7.925,8.005,2.586
2296,73.745,7.902,7.981,2.599
2296.5,75.022,7.535,7.996,2.619
2297,79.66,6.866,8.174,2.609
2297.5,81.658,6.158,8.193,2.586
